ident,iata_code,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,runway_count,max_runway,avg_runway
VRMG,GAN,medium_airport,Gan International Airport,MV,-0.693342,73.155602,6.0,1,12000.0,12000.0
VRMH,HAQ,medium_airport,Hanimaadhoo Airport,MV,6.744229793548584,73.17050170898438,4.0,1,4003.0,4003.0
VRMK,KDO,medium_airport,Kadhdhoo Airport,MV,1.8591699600219729,73.52189636230469,4.0,1,4003.0,4003.0
VRMM,MLE,large_airport,Malé International Airport,MV,4.191830158233643,73.52909851074219,6.0,1,11155.0,11155.0
VRMT,KDM,medium_airport,Kaadedhdhoo Airport,MV,0.488131,72.996902,2.0,1,4003.0,4003.0
VRMV,VAM,medium_airport,Villa Airport,MV,3.470556,72.835833,6.0,1,5905.0,5905.0
VTBD,DMK,large_airport,Don Mueang International Airport,TH,13.9125995636,100.607002258,9.0,2,12139.0,11811.0
VTBK,KDT,medium_airport,Kamphaeng Saen Airport,TH,14.1020002365,99.9171981812,30.0,1,9000.0,9000.0
VTBL,,medium_airport,Khok Kathiam Airport,TH,14.8746004105,100.663002014,123.0,3,7252.0,4095.6666666666665
VTBO,TDX,medium_airport,Trat Airport,TH,12.2746,102.319,105.0,1,4950.0,4950.0
VTBS,BKK,large_airport,Suvarnabhumi Airport,TH,13.681099891662598,100.74700164794922,5.0,2,13123.0,12631.0
VTBU,UTP,medium_airport,U-Tapao International Airport,TH,12.67990016937256,101.00499725341795,42.0,1,11500.0,11500.0
VTCC,CNX,large_airport,Chiang Mai International Airport,TH,18.7667999268,98.962600708,1036.0,1,11155.0,11155.0
VTCH,HGN,medium_airport,Mae Hong Son Airport,TH,19.301300048828125,97.97579956054688,929.0,1,6562.0,6562.0
VTCL,LPT,medium_airport,Lampang Airport,TH,18.27090072631836,99.50420379638672,811.0,1,6465.0,6465.0
VTCN,NNT,medium_airport,Nan Airport,TH,18.807899475097656,100.78299713134766,685.0,1,6562.0,6562.0
VTCP,PRH,medium_airport,Phrae Airport,TH,18.132200241088867,100.16500091552734,538.0,1,4921.0,4921.0
VTCT,CEI,medium_airport,Mae Fah Luang - Chiang Rai International Airport,TH,19.952299,99.882896,1280.0,1,9843.0,9843.0
VTPB,PHY,medium_airport,Phetchabun Airport,TH,16.6760005951,101.194999695,450.0,1,6890.0,6890.0
