id,airport_ref,ident,length_ft,width_ft,runway_count,max_runway
244876,21332,KVNW,4000.0,75.0,2,4000.0
244877,21332,KVNW,2610.0,105.0,2,4000.0
243931,21333,KVNY,4011.0,75.0,2,8001.0
243930,21333,KVNY,8001.0,150.0,2,8001.0
240555,3947,KVOK,9000.0,150.0,1,9000.0
241696,21334,KVPC,5760.0,100.0,1,5760.0
245911,3948,KVPS,10012.0,300.0,2,12005.0
245912,3948,KVPS,12005.0,300.0,2,12005.0
245089,3949,KVPZ,7000.0,150.0,2,7000.0
245090,3949,KVPZ,4000.0,75.0,2,7000.0
242862,21335,KVQQ,8002.0,200.0,4,12504.0
242861,21335,KVQQ,8003.0,200.0,4,12504.0
242864,21335,KVQQ,12504.0,200.0,4,12504.0
242863,21335,KVQQ,8003.0,200.0,4,12504.0
243598,3950,KVRB,4974.0,100.0,3,7314.0
243600,3950,KVRB,3504.0,75.0,3,7314.0
243599,3950,KVRB,7314.0,100.0,3,7314.0
243298,21336,KVSF,5498.0,100.0,2,5498.0
243299,21336,KVSF,3001.0,75.0,2,5498.0
242082,21337,KVTA,4649.0,75.0,1,4649.0
245100,21338,KVTI,4000.0,60.0,2,4000.0
245101,21338,KVTI,2500.0,50.0,2,4000.0
245581,21339,KVTN,2807.0,50.0,2,4700.0
245582,21339,KVTN,4700.0,100.0,2,4700.0
243795,21340,KVUJ,3500.0,75.0,2,5500.0
243794,21340,KVUJ,5500.0,100.0,2,5500.0
241810,21341,KVUO,3275.0,60.0,1,3275.0
245399,21342,KVVS,3458.0,100.0,2,3458.0
245400,21342,KVVS,2404.0,100.0,2,3458.0
241862,21343,KVVV,2158.0,300.0,2,3417.0
241863,21343,KVVV,3417.0,75.0,2,3417.0
254072,25562,KVWU,3700.0,150.0,1,3700.0
244723,21344,KVYS,6000.0,100.0,1,6000.0
242050,21345,KW01,3053.0,50.0,1,3053.0
244806,21346,KW03,4500.0,150.0,3,4500.0
244806,21346,KW03,4500.0,150.0,3,4500.0
244807,21346,KW03,4500.0,150.0,3,4500.0
244807,21346,KW03,4500.0,150.0,3,4500.0
244808,21346,KW03,4499.0,150.0,3,4500.0
244808,21346,KW03,4499.0,150.0,3,4500.0
245855,21347,KW05,3100.0,60.0,1,3100.0
240409,21348,KW22,4200.0,75.0,1,4200.0
241610,21349,KW28,3500.0,100.0,2,3500.0
241610,21349,KW28,3500.0,100.0,2,3500.0
241609,21349,KW28,3500.0,40.0,2,3500.0
241609,21349,KW28,3500.0,40.0,2,3500.0
241347,21350,KW31,3000.0,50.0,1,3000.0
244283,21351,KW32,3000.0,60.0,1,3000.0
242856,21352,KW35,4985.0,70.0,1,4985.0
240693,21353,KW38,5500.0,100.0,1,5500.0
245115,21354,KW40,3697.0,75.0,1,3697.0
240134,21355,KW41,3280.0,165.0,2,3280.0
240135,21355,KW41,2490.0,75.0,2,3280.0
240617,21356,KW43,5500.0,75.0,1,5500.0
242466,21357,KW45,3125.0,75.0,1,3125.0
241883,21358,KW63,4500.0,50.0,1,4500.0
242664,21360,KW78,4011.0,75.0,2,4011.0
242665,21360,KW78,2700.0,200.0,2,4011.0
243084,21361,KW81,3300.0,60.0,1,3300.0
244294,21362,KW90,3164.0,40.0,1,3164.0
240852,21363,KW91,3058.0,50.0,1,3058.0
243965,21364,KW94,5000.0,150.0,1,5000.0
239848,21365,KW95,2999.0,60.0,1,2999.0
245154,21366,KW96,3600.0,75.0,1,3600.0
244900,21367,KW99,5000.0,75.0,1,5000.0
245014,21368,KWAL,8749.0,150.0,3,8749.0
245015,21368,KWAL,8005.0,200.0,3,8749.0
245016,21368,KWAL,4808.0,150.0,3,8749.0
254850,21369,KWAY,3500.0,75.0,1,3500.0
241195,21370,KWBW,3376.0,75.0,2,3376.0
241196,21370,KWBW,2200.0,100.0,2,3376.0
240141,21371,KWDG,3149.0,108.0,2,6389.0
240142,21371,KWDG,6389.0,150.0,2,6389.0
243704,21372,KWDR,3610.0,100.0,2,5500.0
243705,21372,KWDR,5500.0,100.0,2,5500.0
251972,21373,KWF,10000.0,1000.0,1,10000.0
244504,21374,KWHP,4120.0,75.0,1,4120.0
242951,21375,KWJF,7201.0,150.0,1,7201.0
250289,21376,KWK,2000.0,300.0,1,2000.0
245235,21377,KWLD,3137.0,75.0,2,5505.0
245236,21377,KWLD,5505.0,100.0,2,5505.0
241540,21378,KWLW,4210.0,100.0,2,4506.0
241541,21378,KWLW,4506.0,100.0,2,4506.0
