id,airport_ref,ident,length_ft,width_ft
246710,7105,0C8,2831,180
265160,7107,0CA0,86,86
312186,7108,0CA1,2482,30
265161,7109,0CA2,45,45
252332,7110,0CA3,2100,20
255357,7111,0CA4,3600,50
250486,7112,0CA5,1400,30
249639,7113,0CA6,2400,40
265162,7114,0CA7,85,85
253880,7115,0CA8,2250,50
241917,7116,0CA9,3300,60
265163,7117,0CD0,50,50
265164,7118,0CD1,45,45
256348,7119,0CD2,2500,50
256349,7119,0CD2,5000,100
265165,7121,0CD4,25,25
257141,7122,0CD5,4500,70
265166,7123,0CD6,40,40
254880,7124,0CD7,956,300
265167,7125,0CD8,50,50
265168,7126,0CD9,50,50
254718,7127,0CL0,3720,75
249754,7128,0CL1,3360,100
249755,7128,0CL1,2040,100
265169,7129,0CL2,113,55
249475,7130,0CL3,1800,50
249476,7130,0CL3,2400,50
265170,7131,0CL4,50,50
265171,7132,0CL5,58,58
252760,7133,0CL6,1900,70
265172,7134,0CL7,65,65
254152,7135,0CL8,3500,80
269489,7135,0CL8,80,80
265173,7136,0CL9,20,20
265174,7137,0CO0,100,100
246891,7138,0CO1,2500,60
239799,7139,0CO2,4000,40
252776,7140,0CO3,4200,30
265175,7141,0CO4,120,108
257724,7143,0CO6,4500,150
257725,7143,0CO6,4000,150
265176,7144,0CO7,152,64
256193,7145,0CO8,2000,30
248696,7146,0CO9,2600,50
265177,7147,0CT0,36,36
265178,7148,0CT1,50,50
265179,7149,0CT2,40,40
265180,7150,0CT3,60,60
265181,7152,0CT5,50,50
265182,7153,0CT6,65,65
265183,7154,0CT7,66,48
265184,7155,0CT8,60,60
265185,7156,0CT9,60,75
353510,7157,0D6,2150,300
353509,7157,0D6,2345,300
246371,7158,0D7,1955,110
248012,7159,0E9,3270,80
248013,7159,0E9,3000,100
265186,7160,0FA0,200,150
254114,7161,0FA1,1800,75
269490,45349,0FA2,50,50
345996,345994,0FA3,20,20
347506,347505,0FA6,45,45
253990,7162,0FD0,4000,75
265187,7163,0FD1,50,40
265188,7164,0FD2,48,48
255876,7165,0FD3,2100,50
255877,7165,0FD3,4000,40
248548,7167,0FD5,2100,100
253769,7168,0FD6,3000,100
254659,7169,0FD9,1975,60
